unit,unit_name,word,pos,ipa,meaning_vi,definition_en,example_en,example_answer,topics
4,Remembering the past,recognise,(v),/ˈrekəɡnaɪz/,"công nhận, nhận ra",,The heritage site was officially recognized for its historical value.,,
4,Remembering the past,observe,(v),/əbˈzɜːv/,quan sát,,Tourists are encouraged to observe the rules while visiting.,observe,
4,Remembering the past,protect,(v),/prəˈtekt/,bảo vệ,,We need to protect our cultural sites from vandalism.,protect,
4,Remembering the past,culture festival,(n),/ˈkʌltʃər ˈfestɪvl/,lễ hội văn hóa,,The culture festival showcases traditional dances and music.,culture festival,
4,Remembering the past,relic,(n),/ˈrelɪk/,di vật,,The museum is home to many ancient relics.,,
4,Remembering the past,friendship,(n),/ˈfrendʃɪp/,tình bạn,,The exchange program fostered lasting friendships between students.,,
4,Remembering the past,benefit,(v),/ˈbenɪfɪt/,có lợi,,The restoration project benefits both the community and tourists.,,
4,Remembering the past,seat belt,(n),/siːt belt/,dây an toàn (phương tiện giao thông),,Always check that your seat belt is fastened before driving.,seat belt,
4,Remembering the past,windmill,(n),/ˈwɪndmɪl/,cối xay gió,,The old windmill has been restored as a historical landmark.,windmill,
4,Remembering the past,safeguard,(v),/ˈseɪfɡɑːd/,"bảo vệ, canh gác",,We must safeguard our heritage for future generations.,safeguard,
4,Remembering the past,nightmare,(n),/ˈnaɪtmeə(r)/,ác mộng,,He had a nightmare about the destruction of his favorite historical site.,nightmare,
4,Remembering the past,pagoda,(n),/pəˈɡəʊdə/,chùa,,The pagoda is an important religious site for the local community.,pagoda,
4,Remembering the past,weaving workshop,(n),/ˈwiːvɪŋ ˈwɜːkʃɒp/,xưởng dệt,,The weaving workshop demonstrates traditional textile techniques.,weaving workshop,
4,Remembering the past,craft workshop,(n),/krɑːft ˈwɜːkʃɒp/,xưởng thủ công,,The craft workshop taught us how to make traditional ceramics.,craft workshop,
4,Remembering the past,ancestor,(n),/ˈænsestə(r)/,tổ tiên,,We honor our ancestors through various ceremonies.,,
4,Remembering the past,take part in,(phr.v),/teɪk pɑːt ɪn/,tham gia,,Everyone was excited to take part in the historical reenactment.,take part in,
4,Remembering the past,Mid-Autumn Festival,(n),/mɪd-ˈɔːtəm ˈfɛstɪvəl/,Trung thu,,The Mid-Autumn Festival is celebrated with lanterns and mooncakes.,Mid-Autumn Festival,
4,Remembering the past,Harvest Festival,(n),/ˈhɑːvɪst ˈfestɪvl/,lễ hội thu hoạch,,The Harvest Festival includes traditional dances and feasts.,Harvest Festival,
4,Remembering the past,celebrate,(v),/ˈselɪbreɪt/,tổ chức,,The city will celebrate its anniversary with a grand parade.,celebrate,
4,Remembering the past,deep-rooted,(adj),/diːp ˈruːtɪd/,ăn sâu vào,,The tradition is deeply rooted in the local culture.,,
4,Remembering the past,appear,(v),/əˈpɪə(r)/,xuất hiện,,The ruins of the ancient temple appeared after years of excavation.,,
4,Remembering the past,national dish,(n),/ˈnæʃnəl dɪʃ/,món ăn quốc gia,,Sushi is considered a national dish of Japan.,national dish,
4,Remembering the past,basic,(adj),/ˈbeɪsɪk/,cơ bản,,Understanding the basic principles of conservation is crucial.,basic,
4,Remembering the past,associated,(adj),/əˈsəʊsieɪtɪd/,liên quan,,The festival is associated with the harvest season.,associated,
4,Remembering the past,take pride in,(phr.v),/teɪk praɪd ɪn/,tự hào,,They take pride in maintaining their traditional crafts.,take pride in,
4,Remembering the past,vinegar,(n),/ˈvɪnɪɡə(r)/,giấm,,Vinegar is used in many traditional recipes.,vinegar,
4,Remembering the past,ketchup,(n),/ˈketʃ.ʌp/,sốt cà chua,,Ketchup is often served with fries and burgers.,ketchup,
4,Remembering the past,pancake,(n),/ˈpænkeɪk/,bánh kếp,,Pancakes are a popular breakfast dish in many countries.,,
4,Remembering the past,walk barefoot,(phr.v),/wɔːk ˈbeəfʊt/,đi chân trần,,Walking barefoot on the grass feels refreshing.,,
4,Remembering the past,face to face,(phr.),/feɪs tʊ feɪs/,đối diện,,We had a face-to-face meeting to discuss the project.,,
4,Remembering the past,traditional game,(n),/trəˈdɪʃ.ən.əl ɡeɪm/,trò chơi truyền thống,,The traditional game involves complex strategies and teamwork.,traditional game,
4,Remembering the past,five-coloured sticky rice,(n),/faɪv ˈkʌləd ˈstɪki raɪs/,xôi ngũ sắc,,Five-coloured sticky rice is often served during special occasions.,five-coloured sticky rice,
4,Remembering the past,valuable resource,(n),/ˈvæljuəbl rɪˈsɔːs/,tài nguyên quý giá,,Preserving historical sites is a valuable resource for education.,valuable resource,
4,Remembering the past,home life,(n),/həʊm laɪf/,cuộc sống gia đình,,Home life is an important aspect of personal well-being.,home life,
4,Remembering the past,ancient,(adj),/ˈeɪnʃənt/,cổ xưa,,The ancient ruins offer a glimpse into early civilizations.,ancient,
4,Remembering the past,antique,(adj),/ænˈtiːk/,đồ cổ,,She collected antique furniture from various periods.,antique,
4,Remembering the past,community service,(n),/kəˈmjunəti ˈsɜːvɪs/,dịch vụ cộng đồng,,Volunteering at the shelter is a valuable community service.,community service,
5,Our experiences,local specialty,noun,/ˈləʊkl ˌspeʃiˈæləti/,đặc sản địa phương,,Bánh mì is a local specialty in many cities.,local specialty,
5,Our experiences,ride horses,verb,/raɪd ˈhɔːsɪz/,cưỡi ngựa,,We rode horses along the beach during our summer vacation.,,
5,Our experiences,take photos,verb,/teɪk foʊ.t̬oʊz/,chụp ảnh,,Tourists often take photos of the beautiful landscapes.,take photos,
5,Our experiences,explore a site,verb,/ɪkˈsplɔːr ə saɪt/,khám phá địa điểm,,We plan to explore a historical site during our trip.,,
5,Our experiences,ride a jeep,verb,/raɪd ə dʒiːp/,đi xe jeep,,We had a thrilling ride in a jeep through the desert.,,
5,Our experiences,dance with local people,verb,/dɑːns wɪð ˈləʊkl ˈpiːpl/,khiêu vũ với người dân địa phương,,They danced with local people at the festival.,,
5,Our experiences,take an eco-tour,verb,/teɪk ən ˈiːkəʊ tʊə/,đi du lịch sinh thái,,We took an eco-tour through the rainforest.,,
5,Our experiences,see a gong show,verb,/siː ə ɡɒŋ ʃəʊ/,xem biểu diễn cồng chiêng,,The cultural center offers a chance to see a gong show.,see a gong show,
5,Our experiences,climb a mountain,verb,/klaɪm ə ˈmaʊntən/,leo núi,,They climbed a mountain for a breathtaking view.,,
5,Our experiences,explore the seabed,verb,/ɪkˈsplɔː ðə ˈsiːbed/,khám phá đáy biển,,Marine biologists explore the seabed for new species.,explore the seabed,
5,Our experiences,see a tribal dance show,verb,/siː ə ˈtraɪbl dɑːns ʃəʊ/,xem biểu diễn múa dân tộc,,Visitors can see a tribal dance show at the cultural village.,see a tribal dance show,
5,Our experiences,stream,noun,/striːm/,dòng suối,,The stream runs through the middle of the forest.,stream,
5,Our experiences,species,noun,/ˈspi·ʃiz/,loài (sinh vật),,Scientists discovered a new species of fish in the river.,species,
5,Our experiences,enjoyable,adjective,/ɪnˈdʒɔɪəbl/,thú vị,,The picnic was an enjoyable way to spend the afternoon.,enjoyable,
5,Our experiences,thrilling,adjective,/ˈθrɪlɪŋ/,kích thích,,The roller coaster ride was thrilling for everyone.,thrilling,
5,Our experiences,amazing,adjective,/əˈmeɪzɪŋ/,tuyệt vời,,The sunset over the ocean was simply amazing.,amazing,
5,Our experiences,brilliant,adjective,/ˈbrɪliənt/,"xuất sắc, tuyệt vời",,The scientist's brilliant work led to a major breakthrough.,brilliant,
5,Our experiences,learn by rote,verb,/lɜːn baɪ rəʊt/,học vẹt,,"Some students prefer to learn by rote, but it's not effective.",learn by rote,
5,Our experiences,tour a campus,verb,/tʊə(r) ə ˈkæmpəs/,tham quan khuôn viên trường,,We toured the campus before deciding to enroll in the university.,,
5,Our experiences,give a performance,verb,/ɡɪv ə pəˈfɔːməns/,biểu diễn,,The students gave a performance of their new play.,,
5,Our experiences,put up tents,verb,/pʊt ʌp tents/,dựng lều,,We put up tents at the campsite before it got dark.,put up tents,
5,Our experiences,go snorkeling,verb,/ɡəʊ ˈsnɔːkəlɪŋ/,đi lặn với ống thở,,We went snorkeling to see the colorful fish in the coral reef.,,
5,Our experiences,helpless,adjective,/ˈhelpləs/,bất lực,,The baby bird was helpless after falling from its nest.,helpless,
5,Our experiences,exhilarating,adjective,/ɪɡˈzɪləreɪtɪŋ/,"kích thích, mãn nhãn",,The exhilarating ride down the river left us breathless.,exhilarating,
5,Our experiences,embarrassing,adjective,/ɪmˈbærəsɪŋ/,"xấu hổ, ngại ngùng",,It was embarrassing to trip in front of the entire class.,embarrassing,
5,Our experiences,unpleasant,adjective,/ʌnˈpleznt/,khó chịu,,The unpleasant smell made it hard to stay in the room.,unpleasant,
5,Our experiences,coral reef,noun,/ˌkɔːr.əl ˈriːf/,rạn san hô,,The coral reef was teeming with vibrant marine life.,coral reef,
5,Our experiences,by chance,adverb,/baɪ - tʃɑːns/,tình cờ,,She discovered the hidden cave by chance while hiking.,by chance,
5,Our experiences,yearbook,noun,/ˈjɪəbʊk/,niên giám,,The school yearbook captured all the memorable moments.,yearbook,
5,Our experiences,sail a yacht,verb,/seɪl ə jɒt/,đi thuyền buồm,,We learned how to sail a yacht on our summer vacation.,sail a yacht,
5,Our experiences,wildlife,noun,/ˈwaɪldlaɪf/,động vật hoang dã,,The reserve is home to a wide variety of wildlife.,wildlife,
5,Our experiences,ethnic,adjective,/ˈeθnɪk/,dân tộc,,The region is known for its ethnic diversity.,ethnic,
5,Our experiences,tribal,adjective,/ˈtraɪ.bəl/,bộ lạc,,The tribal customs are still practiced in remote areas.,tribal,
5,Our experiences,team building activity,noun,/tiːm ˈbɪldɪŋ ækˈtɪvəti/,"hoạt động nhóm, đồng đội",,The team building activity helped improve our teamwork skills.,team building activity,
5,Our experiences,exciting,adjective,/ɪkˈsaɪtɪŋ/,thú vị,,The new movie was so exciting that I watched it twice.,exciting,
5,Our experiences,campsite,noun,/ˈkæmpsaɪt/,khu cắm trại,,We chose a campsite near the river for our weekend getaway.,campsite,
5,Our experiences,ankle,noun,/ˈæŋkl/,mắt cá chân,,He twisted his ankle while playing soccer.,ankle,
5,Our experiences,put up,phrasal verb,/pʊt ʌp/,dựng lên,,They put up a fence to protect the garden from animals.,put up,
5,Our experiences,terrible,adjective,/ˈterəbl/,khủng khiếp,,The accident was a terrible experience for everyone involved.,terrible,
5,Our experiences,attend,verb,/əˈtend/,tham dự,,I plan to attend the conference next week.,attend,
5,Our experiences,army,noun,/ˈɑːmi/,quân đội,,My brother enlisted in the army last year.,army,
5,Our experiences,unforgettable,adjective,/ˌʌnfəˈɡetəbl/,khó quên,,The concert was an unforgettable experience.,unforgettable,
5,Our experiences,special,adjective,/ˈspeʃl/,đặc biệt,,They prepared a special meal for the celebration.,special,
5,Our experiences,receive,verb,/rɪˈsiːv/,nhận,,She received a gift from her friend on her birthday.,,
5,Our experiences,environment,noun,/ɪnˈvaɪrənmənt/,môi trường,,Protecting the environment is everyone's responsibility.,environment,
5,Our experiences,strict,adjective,/strɪkt/,nghiêm khắc,,The teacher is very strict about deadlines.,strict,
5,Our experiences,competition,noun,/kɑːm.pəˈtɪʃ.ən/,"cuộc thi, sự cạnh tranh",,"The competition was tough, but she won first place.",competition,
5,Our experiences,confidence,noun,/ˈkɒnfɪdəns/,sự tự tin,,Public speaking helps boost confidence.,confidence,
5,Our experiences,soft skill,noun,/sɒft skɪl/,kỹ năng mềm,,Employers value soft skills such as teamwork and adaptability.,,
5,Our experiences,bully,verb,/ˈbʊli/,bắt nạt,,Schools should take strict measures to prevent bullying.,,
5,Our experiences,aware,adjective,/əˈweə(r)/,nhận thức (về),,Students should be aware of the risks of sharing personal information online.,aware,
5,Our experiences,join,verb,/dʒɔɪn/,tham gia,,She decided to join the debate club this semester.,join,
5,Our experiences,prehistoric,adjective,/ˌpriːhɪˈstɔːrɪk/,tiền sử,,The museum exhibits prehistoric artifacts from ancient times.,prehistoric,
5,Our experiences,assignment,noun,/əˈsaɪnmənt/,"bài tập, nhiệm vụ",,We have a challenging assignment due next week.,assignment,
6,Vietnamese lifestyles: then and now,lifestyle,(n),/laɪfstaɪl/,"phong cách sống, lối sống",,A minimalist lifestyle helps reduce stress.,lifestyle,
6,Vietnamese lifestyles: then and now,different (from),(adj),/ˈdɪfrənt/,khác biệt (so với),,The way she thinks is very different from mine.,,
6,Vietnamese lifestyles: then and now,play outdoors,(v),/pleɪ aʊtˈdɔːrz/,chơi ngoài trời,,The kids are playing outdoors in the park.,,
6,Vietnamese lifestyles: then and now,natural material,(n),/ˈnæʧrəl məˈtɪərɪəl/,chất liệu tự nhiên,,The chair is made from natural materials.,,
6,Vietnamese lifestyles: then and now,depend on,(v),/dɪˈpend ɑːn/,phụ thuộc (vào),,She depends on her brother for support.,,
6,Vietnamese lifestyles: then and now,electronic device,(n),/ˌel.ekˈtrɒn.ɪk dɪˈvaɪs/,thiết bị điện tử,,He bought a new electronic device yesterday.,electronic device,
6,Vietnamese lifestyles: then and now,traditional game,(n),/trəˈdɪʃ.ən.əl ɡeɪm/,trò chơi truyền thống,,Playing traditional games is a part of our culture.,,
6,Vietnamese lifestyles: then and now,leave school,(v),/liːv skuːl/,rời trường học,,I always leave school at 3 PM.,leave school,
6,Vietnamese lifestyles: then and now,support,(v),/səˈpɔːt/,hỗ trợ,,The community came together to support the cause.,support,
6,Vietnamese lifestyles: then and now,living condition,(n),/'liviŋ kən'diʃn/,điều kiện sống,,The living conditions in the city are improving.,,
6,Vietnamese lifestyles: then and now,(be) made from,(v),/meɪd frəm/,được làm từ,,This bag is made from recycled materials.,,
6,Vietnamese lifestyles: then and now,opportunity,(n),/ˌɒpəˈtjuːnəti/,cơ hội,,She was given an opportunity to travel abroad.,opportunity,
6,Vietnamese lifestyles: then and now,freedom,(n),/ˈfriːdəm/,sự tự do,,Having freedom of choice is important.,freedom,
6,Vietnamese lifestyles: then and now,dye,(v),/daɪ/,nhuộm (tóc),,She plans to dye her hair red.,dye,
6,Vietnamese lifestyles: then and now,generation,(n),/ˌdʒenəˈreɪʃn/,thế hệ,,This generation is very tech-savvy.,generation,
6,Vietnamese lifestyles: then and now,pursue,(v),/pəˈsjuː/,theo đuổi,,He decided to pursue a career in medicine.,pursue,
6,Vietnamese lifestyles: then and now,previous,(adj),/'priəs/,trước đây,,I found my previous job very stressful.,previous,
6,Vietnamese lifestyles: then and now,take note,(phr.v),/teɪk nəʊt/,ghi chú,,The teacher asked us to take notes during the lecture.,,
6,Vietnamese lifestyles: then and now,memorise,(v),/ˈmeməraɪz/,ghi nhớ,,You need to memorise these formulas for the test.,memorise,
6,Vietnamese lifestyles: then and now,replace,(v),/rɪˈpleɪs/,thay thế,,They will replace the old chairs with new ones.,replace,
6,Vietnamese lifestyles: then and now,democratic,(adj),/ˌdeməˈkrætɪk/,dân chủ,,Our school has a democratic system for elections.,democratic,
6,Vietnamese lifestyles: then and now,various,(adj),/ˈveəriəs/,"khác nhau, đa dạng",,The store sells various types of fruits.,various,
6,Vietnamese lifestyles: then and now,family-oriented,(adj),/ˈfæməli ˈɔːrientɪd/,định hướng gia đình,,The company promotes a family-oriented culture.,family-oriented,
6,Vietnamese lifestyles: then and now,personal,(adj),/ˈpɜːsənl/,cá nhân,,She keeps a personal diary.,personal,
6,Vietnamese lifestyles: then and now,extended family,(adj),/ɪkˈstendɪd ˈfæməli/,đại gia đình,,We often visit our extended family on holidays.,extended family,
6,Vietnamese lifestyles: then and now,independent,(adj),/ˌɪndɪˈpendənt/,"độc lập, tự chủ",,He became independent after moving out of his parents' house.,independent,
6,Vietnamese lifestyles: then and now,give up,(phr.v),/gɪv ʌp/,từ bỏ,,She never gives up on her dreams.,,
6,Vietnamese lifestyles: then and now,hi-tech appliance,(n),/ˌhaɪ ˈtek əˈplaɪənsɪz/,thiết bị công nghệ cao,,The kitchen is equipped with hi-tech appliances.,,
6,Vietnamese lifestyles: then and now,use for,(phr.v),/juːz fɔː/,sử dụng cho,,This room is used for meetings.,,
6,Vietnamese lifestyles: then and now,private,(adj),/'praivit/,riêng tư,,She prefers to keep her life private.,private,
6,Vietnamese lifestyles: then and now,design,(v),/dɪˈzaɪn/,thiết kế (cho),,The new app is designed for ease of use.,,
6,Vietnamese lifestyles: then and now,ride a buffalo,(v),/raɪd ə ˈbʌfələʊ/,cưỡi trâu,,He learned how to ride a buffalo from his father.,ride a buffalo,
6,Vietnamese lifestyles: then and now,traditional farming tools,(n),/trəˈdɪʃənl ˈfɑːmɪŋ tuːlz/,dụng cụ làm nông truyền thống,,Farmers still use traditional farming tools in this village.,traditional farming tools,
6,Vietnamese lifestyles: then and now,promise,(v),/ˈprɒmɪs/,hứa,,He promised to call me tomorrow.,,
6,Vietnamese lifestyles: then and now,transportation,(n),/ˌtrænspɔːˈteɪʃn/,vận tải,,Public transportation is very convenient here.,transportation,
6,Vietnamese lifestyles: then and now,education,(n),/ˌedʒuˈkeɪʃn/,giáo dục,,Education is a priority for this government.,education,
6,Vietnamese lifestyles: then and now,performance,(n),/pəˈfɔːməns/,màn trình diễn,,The performance received a standing ovation.,performance,
6,Vietnamese lifestyles: then and now,professional training,(n),/prəˈfeʃənlˈtreɪnɪŋ/,đào tạo chuyên nghiệp,,He attended a professional training course last year.,professional training,
6,Vietnamese lifestyles: then and now,traditional costume,(n),/trəˈdɪʃənlˈkɒstjuːm/,trang phục truyền thống,,She wore a traditional costume to the festival.,traditional costume,
6,Vietnamese lifestyles: then and now,eating habit,(n),/ˈiːtɪŋ ˈhæbɪt/,thói quen ăn uống,,Developing healthy eating habits is essential.,,
6,Vietnamese lifestyles: then and now,learning style,(n),/ˈlɜːnɪŋ staɪl/,phong cách học,,His learning style involves hands-on activities.,learning style,
6,Vietnamese lifestyles: then and now,textbook,(n),/ˈtekstbʊk/,sách giáo khoa,,The textbook provides comprehensive information.,textbook,
6,Vietnamese lifestyles: then and now,active,(adj),/ˈæktɪv/,chủ động,,She is an active member of the community.,active,
6,Vietnamese lifestyles: then and now,oil lamp,(n),/ɔɪllæm/,đèn dầu,,The old house was lit by oil lamps.,,
6,Vietnamese lifestyles: then and now,convenient,(adj),/kənˈviːniənt/,thuận tiện,,It's convenient to have a store nearby.,convenient,
6,Vietnamese lifestyles: then and now,learning facility,(n),/ˈlɜːnɪŋ fəˈsɪləti/,thiết bị học tập,,The university has excellent learning facilities.,,
6,Vietnamese lifestyles: then and now,provide,(v),/prəˈvaɪd/,cung cấp,,The school provides free meals for students.,,
6,Vietnamese lifestyles: then and now,allow,(v),/əˈlaʊ/,cho phép,,Parents should allow children to explore.,allow,
6,Vietnamese lifestyles: then and now,working place,(n),/ˈwɜːkɪŋ pleɪs/,nơi làm việc,,The new working place is very modern.,working place,
6,Vietnamese lifestyles: then and now,family type,(n),/ˈfæməli taɪp/,loại gia đình,,Single-parent families are a common family type.,family type,
6,Vietnamese lifestyles: then and now,parents-children relation,(n),/ˈpeərənts ˈtʃɪldrən rɪˈleɪʃn/,mối quan hệ giữa cha mẹ và con cái,,A healthy parents-children relation is key to good upbringing.,parents-children relation,
6,Vietnamese lifestyles: then and now,turn down,(phr.v),/tɜːn/ /daʊn/,vặn nhỏ (âm thanh),,She turned down the volume on the TV.,,
6,Vietnamese lifestyles: then and now,avoid,(v),/əˈvɔɪd/,tránh,,You should avoid eating too much sugar.,avoid,
6,Vietnamese lifestyles: then and now,difference,(n),/ˈdɪfrəns/,sự khác biệt,,There's a significant difference between these two products.,difference,
6,Vietnamese lifestyles: then and now,exhibition,(n),/ˌeksɪˈbɪʃn/,"sự trưng bày, triển lãm",,The art exhibition attracted many visitors.,exhibition,
6,Vietnamese lifestyles: then and now,family value,(n),/ˈfæməli ˈvæljuː/,giá trị gia đình,,Family values are the foundation of our society.,,
6,Vietnamese lifestyles: then and now,make a promise,(v),/meɪk ə ˈprɒmɪs/,hứa,,I made a promise to help her with the project.,,
2,City life,get around,phr.v,,Dạo quanh,,"When I was in town, I chose to get around by bus.",get around,
2,City life,carry out,phr.v,,Tiến hành,,The authority is carrying out a plan to solve traffic congestion in the downtown area.,,
2,City life,come down with,phr.v,,Mắc phải (bệnh),,I'm come down with a cold. I have a runny nose and a sore throat.,come down with,
2,City life,hang out with,phr.v,,Đi chơi,,Where do teenagers in your neighbourhood often hang out with each other?,hang out with,
2,City life,cut down on,phr.v,,Cắt giảm,,We all need to cut down on using our cars and ride our bikes more to reduce air pollution.,cut down on,
